#,Player,Pos,HT,WT,Age,Current Team,YOS,Pre-Draft Team,Draft Status,Nationality
2,Zyon Pullin,PG,193.0,93.4,23,Memphis Grizzlies,0,Florida,"2024 NBA Draft, Undrafted",United States
12,Trevelin Queen,G,195.6,86.2,27,Orlando Magic,3,New Mexico State,"2020 NBA Draft, Undrafted",United States
88,Neemias Queta,C,213.4,112.5,25,Boston Celtics,3,Utah State,2021 Rnd 2 Pick 9,Portugal
5,Immanuel Quickley,PG,188.0,86.2,25,Toronto Raptors,4,Kentucky,2020 Rnd 1 Pick 25,United States
30,Julius Randle,PF,205.7,113.4,30,Minnesota Timberwolves,10,Kentucky,2014 Rnd 1 Pick 7,United States
26,Duop Reath,C,205.7,111.1,28,Portland Trail Blazers,1,LSU,"2018 NBA Draft, Undrafted",Australia
15,Austin Reaves,PG,195.6,89.4,26,Los Angeles Lakers,3,Oklahoma,"2021 NBA Draft, Undrafted",United States
5,Cam Reddish,G,200.7,98.4,25,Los Angeles Lakers,5,Duke,2019 Rnd 1 Pick 10,United States
7,"Paul Reed, Jr.",F,205.7,95.3,25,Detroit Pistons,4,DePaul,2020 Rnd 2 Pick 28,United States
12,Antonio Reeves,GF,195.6,93.0,24,New Orleans Pelicans,0,Kentucky,2024 Rnd 2 Pick 17,United States
11,Naz Reid,C,205.7,119.7,25,Minnesota Timberwolves,5,LSU,"2019 NBA Draft, Undrafted",United States
8,Jared Rhoden,SG,195.6,95.3,25,Toronto Raptors,2,Seton Hall,"2022 NBA Draft, Undrafted",United States
2,Nick Richards,C,213.4,111.1,27,Phoenix Suns,4,Kentucky,2020 Rnd 2 Pick 12,Jamaica
10,Zaccharie Risacher,F,203.2,90.7,19,Atlanta Hawks,0,JL Bourg-en-Bresse (France),2024 Rnd 1 Pick 1,SpainFrance
15,Liam Robbins,C,213.4,113.4,25,Milwaukee Bucks,0,Vanderbilt,"2023 NBA Draft, Undrafted",United States
55,Duncan Robinson,F,200.7,97.5,30,Miami Heat,6,Michigan,"2018 NBA Draft, Undrafted",United States
23,Mitchell Robinson,C,213.4,108.9,26,New York Knicks,6,,2018 Rnd 2 Pick 6,United States
21,Orlando Robinson,PF,208.3,106.6,24,Toronto Raptors,2,Fresno State,"2022 NBA Draft, Undrafted",United States
50,Jeremiah Robinson-Earl,PF,203.2,108.9,24,New Orleans Pelicans,3,Villanova,2021 Rnd 2 Pick 2,United States
45,David Roddy,F,193.0,115.7,23,Philadelphia Sixers,2,Colorado State,2022 Rnd 1 Pick 23,United States
13,Ryan Rollins,G,190.5,81.6,22,Milwaukee Bucks,2,Toledo,2022 Rnd 2 Pick 14,United States
44,Jackson Rowe,F,200.7,95.3,28,Golden State Warriors,0,Cal State Fullerton,"2020 NBA Draft, Undrafted",Canada
2,Terry Rozier,G,185.4,86.2,30,Miami Heat,9,Louisville,2015 Rnd 1 Pick 16,United States
21,Rayan Rupert,G,198.1,88.5,20,Portland Trail Blazers,1,New Zealand (New Zealand),2023 Rnd 2 Pick 13,France
1,D'Angelo Russell,SG,190.5,87.5,28,Brooklyn Nets,9,Ohio State,2015 Rnd 1 Pick 2,United States
37,Matt Ryan,SF,198.1,97.5,27,New York Knicks,3,Chattanooga,"2020 NBA Draft, Undrafted",United States
11,Domantas Sabonis,PF,208.3,108.9,28,Sacramento Kings,8,Gonzaga,2016 Rnd 1 Pick 11,United StatesLithuania
31,Tidjane Salaun,F,203.2,93.9,19,Charlotte Hornets,0,Cholet Basket (France),2024 Rnd 1 Pick 6,France
15,Gui Santos,GF,198.1,83.9,22,Golden State Warriors,1,Minas (Brazil),2022 Rnd 2 Pick 25,BrazilPortugal
9,Dario Saric,SF,208.3,102.1,30,Denver Nuggets,8,KK Cibona (Croatia),2014 Rnd 1 Pick 12,Croatia
20,Alex Sarr,FC,213.4,93.0,19,Washington Wizards,0,Perth (Australia),2024 Rnd 1 Pick 2,France
25,Marcus Sasser,G,188.0,88.5,24,Detroit Pistons,1,Houston,2023 Rnd 1 Pick 25,United States
55,Baylor Scheierman,PG,198.1,93.0,24,Boston Celtics,0,Creighton,2024 Rnd 1 Pick 30,United States
17,Dennis Schroder,PG,185.4,79.4,31,Detroit Pistons,11,Basketball Lowen Braunschweig (Germany),2013 Rnd 1 Pick 17,Germany
